"cooc_method","EdgeBetweenness","interaction","interactionType","Label","name","selected","shared interaction","shared name","weight"
"correl_spearman","2.0","","copresence","22ba713a71baf2f0ef5f66a107221ded->5ba3b492ab1f30017fb088f7d33c7a67","22ba713a71baf2f0ef5f66a107221ded->5ba3b492ab1f30017fb088f7d33c7a67=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->5ba3b492ab1f30017fb088f7d33c7a67=correl_spearman","1.0"
"correl_spearman","5.766874364002538","","mutualExclusion","22ba713a71baf2f0ef5f66a107221ded->287f490652bb268ac6e840412bea2931","22ba713a71baf2f0ef5f66a107221ded->287f490652bb268ac6e840412bea2931=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->287f490652bb268ac6e840412bea2931=correl_spearman","-0.8660254"
"correl_spearman","5.766874364002543","","mutualExclusion","22ba713a71baf2f0ef5f66a107221ded->b2592d541d9f2c9646335251acd88e0c","22ba713a71baf2f0ef5f66a107221ded->b2592d541d9f2c9646335251acd88e0c=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->b2592d541d9f2c9646335251acd88e0c=correl_spearman","-0.8660254"
"correl_spearman","2.0","","copresence","22ba713a71baf2f0ef5f66a107221ded->fdc4c9278e6c4123db11c29372cb0df3","22ba713a71baf2f0ef5f66a107221ded->fdc4c9278e6c4123db11c29372cb0df3=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->fdc4c9278e6c4123db11c29372cb0df3=correl_spearman","1.0"
"correl_spearman","2.0","","copresence","22ba713a71baf2f0ef5f66a107221ded->09aec8b89431427022c412a3f6a8bd3e","22ba713a71baf2f0ef5f66a107221ded->09aec8b89431427022c412a3f6a8bd3e=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->09aec8b89431427022c412a3f6a8bd3e=correl_spearman","1.0"
"correl_spearman","36.16738232379139","","mutualExclusion","22ba713a71baf2f0ef5f66a107221ded->5b41c1baf81533ec69af26fe31fa54bc","22ba713a71baf2f0ef5f66a107221ded->5b41c1baf81533ec69af26fe31fa54bc=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->5b41c1baf81533ec69af26fe31fa54bc=correl_spearman","-0.8660254"
"correl_spearman","2.0","","copresence","22ba713a71baf2f0ef5f66a107221ded->b01bbb55fd54081a213f6b44b6b2b862","22ba713a71baf2f0ef5f66a107221ded->b01bbb55fd54081a213f6b44b6b2b862=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->b01bbb55fd54081a213f6b44b6b2b862=correl_spearman","1.0"
"correl_spearman","2.0","","copresence","22ba713a71baf2f0ef5f66a107221ded->88cebbc1e879414a0d61100d62da8a4c","22ba713a71baf2f0ef5f66a107221ded->88cebbc1e879414a0d61100d62da8a4c=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->88cebbc1e879414a0d61100d62da8a4c=correl_spearman","1.0"
"correl_spearman","5.766874364002538","","copresence","22ba713a71baf2f0ef5f66a107221ded->fb3bc9a588c226e2e950e16ba348b0cc","22ba713a71baf2f0ef5f66a107221ded->fb3bc9a588c226e2e950e16ba348b0cc=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->fb3bc9a588c226e2e950e16ba348b0cc=correl_spearman","0.8660254"
"correl_spearman","5.76687436400254","","mutualExclusion","22ba713a71baf2f0ef5f66a107221ded->34b25303a609287b77d9c44a280ee548","22ba713a71baf2f0ef5f66a107221ded->34b25303a609287b77d9c44a280ee548=correl_spearman","false","","22ba713a71baf2f0ef5f66a107221ded->34b25303a609287b77d9c44a280ee548=correl_spearman","-0.8660254"
