"abundance","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","IsSingleNode","Label","name","negdegree","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","oriID","PartnerOfMultiEdgedNodePairs","posdegree","Radiality","samplecount","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","unknowndegree"
"410.95000000000005","2.8181818181818183","0.0","0.3548387096774193","0.0","1","5","false","ebbb0d55411170b3055099a695aa275f","ebbb0d55411170b3055099a695aa275f","0","6.0","0","1","ebbb0d55411170b3055099a695aa275f","0","1","0.6969696969696969","3","false","0","ebbb0d55411170b3055099a695aa275f","0","0.0","0"
"15.875714285714281","5.807017543859649","0.0","0.17220543806646527","0.0","1","9","false","3975c0edaf2f868cd0d5bbe52261f4e2","3975c0edaf2f868cd0d5bbe52261f4e2","0","3.0","0","1","3975c0edaf2f868cd0d5bbe52261f4e2","0","1","0.9018976011457214","6","false","0","3975c0edaf2f868cd0d5bbe52261f4e2","0","0.0","0"
"435.73724212812175","1.5","0.0","0.6666666666666666","0.0","1","2","false","7da83176b5ffaa7b462695f0b233fe07","7da83176b5ffaa7b462695f0b233fe07","0","2.0","0","1","7da83176b5ffaa7b462695f0b233fe07","0","1","0.75","7","false","0","7da83176b5ffaa7b462695f0b233fe07","0","0.0","0"
"582.6450276243093","1.5","0.0","0.6666666666666666","0.0","1","2","false","0a47c8b4a952345ae6f513786e026d91","0a47c8b4a952345ae6f513786e026d91","0","2.0","0","1","0a47c8b4a952345ae6f513786e026d91","0","1","0.75","25","false","0","0a47c8b4a952345ae6f513786e026d91","0","0.0","0"
"37.248294679399756","1.6666666666666667","0.0","0.6","0.0","1","2","false","852ee79f580f682e828929768143ce27","852ee79f580f682e828929768143ce27","0","3.0","0","1","852ee79f580f682e828929768143ce27","0","1","0.7777777777777777","3","false","0","852ee79f580f682e828929768143ce27","0","0.0","0"
"26318.95238095237","1.0","0.0","1.0","0.0","1","1","false","fc66cc3fb393eb894bfb4581dfe3663f","fc66cc3fb393eb894bfb4581dfe3663f","0","1.0","0","1","fc66cc3fb393eb894bfb4581dfe3663f","0","1","1.0","36","false","0","fc66cc3fb393eb894bfb4581dfe3663f","0","0.0","0"
"21823.31372549019","1.0","0.0","1.0","0.0","1","1","false","89ff91fcb576b902de28c44c7fc2aaae","89ff91fcb576b902de28c44c7fc2aaae","0","1.0","0","1","89ff91fcb576b902de28c44c7fc2aaae","0","1","1.0","40","false","0","89ff91fcb576b902de28c44c7fc2aaae","0","0.0","0"
"37054.47445255467","1.5","0.0","0.6666666666666666","1.0","2","2","false","88b8ab9032a199330a0ad4c2509639c2","88b8ab9032a199330a0ad4c2509639c2","0","3.5","0","2","88b8ab9032a199330a0ad4c2509639c2","0","2","0.875","3","false","0","88b8ab9032a199330a0ad4c2509639c2","0","0.875","0"
"29.8713692946058","1.5","0.0","0.6666666666666666","0.0","1","2","false","35f01c82b4fba571713393b468de4078","35f01c82b4fba571713393b468de4078","0","2.0","0","1","35f01c82b4fba571713393b468de4078","0","1","0.75","1","false","0","35f01c82b4fba571713393b468de4078","0","0.0","0"
"4906.45","2.0","0.0","0.5","0.0","1","3","false","aa5843fdfc6cff8ec42d841942e269ca","aa5843fdfc6cff8ec42d841942e269ca","0","2.0","0","1","aa5843fdfc6cff8ec42d841942e269ca","0","1","0.5","22","false","0","aa5843fdfc6cff8ec42d841942e269ca","0","0.0","0"
