Label	abundance	AverageShortestPathLength	BetweennessCentrality	ClosenessCentrality	ClusteringCoefficient	degree	Eccentricity	IsSingleNode	name	negdegree	NeighborhoodConnectivity	NumberOfDirectedEdges	NumberOfUndirectedEdges	oriID	PartnerOfMultiEdgedNodePairs	posdegree	Radiality	samplecount	selected	SelfLoops	shared.name	Stress	TopologicalCoefficient	unknowndegree	Taxon	Confidence.x	database_id.x	Inhibitory.x	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence.y	database_id.y	Inhibitory.y
00579bd7411b49075df018e7a6367c01	325.943521594684	1.66666666666667	0	0.6	0	1	2	false	00579bd7411b49075df018e7a6367c01	0	3	0	1	00579bd7411b49075df018e7a6367c01	0	1	0.777777777777778	2	false	0	00579bd7411b49075df018e7a6367c01	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	0.998914167	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Myxococcales	 f__	 g__	 s__	0.998914167	Noninhibitory	Noninhibitory
00e150269ecc665d692a72b837db1043	72849.2056074767	1	0	1	0	1	1	false	00e150269ecc665d692a72b837db1043	0	1	0	1	00e150269ecc665d692a72b837db1043	0	1	1	46	false	0	00e150269ecc665d692a72b837db1043	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__	0.88544662	Mada.3447.Madagascar.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__	 g__	 s__	0.88544662	Mada.3447.Madagascar.Wild.Bd.Inhibitory	Inhibitory
020643eb1a0c7f8d60f1c1ea687f7c06	191.504531722054	2.85	0.505263157894737	0.350877192982456	0	2	6	false	020643eb1a0c7f8d60f1c1ea687f7c06	0	4.5	0	2	020643eb1a0c7f8d60f1c1ea687f7c06	0	2	0.691666666666667	3	false	0	020643eb1a0c7f8d60f1c1ea687f7c06	576	0.5	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__	0.961858983	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales	 f__Legionellaceae	 g__Legionella	 s__	0.961858983	Noninhibitory	Noninhibitory
0226e17918578c57b9c1e3c0dec2ce51	28336.7156626506	5.81818181818182	0	0.171875	1	3	10	false	0226e17918578c57b9c1e3c0dec2ce51	0	6	0	3	0226e17918578c57b9c1e3c0dec2ce51	0	3	0.746411483253589	17	false	0	0226e17918578c57b9c1e3c0dec2ce51	0	0.6	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__	0.779043193	HP11E.USA.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Agrobacterium	 s__	0.779043193	HP11E.USA.Wild.Bd.Inhibitory	Inhibitory
026b137ceb23fadad8d4917352470ce9	1533.09666666667	6.39228295819936	0.0312066136579229	0.156438631790744	0.545454545454545	11	12	false	026b137ceb23fadad8d4917352470ce9	0	14.2727272727273	0	11	026b137ceb23fadad8d4917352470ce9	0	11	0.88527057535746	2	false	0	026b137ceb23fadad8d4917352470ce9	1998772	0.50974025974026	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__	1	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Cytophagia	 o__Cytophagales	 f__Cytophagaceae	 g__Runella	 s__	1	Noninhibitory	Noninhibitory
02ca048f22fccf96ca553ea4ab903f16	967.780780780781	1	0	1	0	1	1	false	02ca048f22fccf96ca553ea4ab903f16	0	1	0	1	02ca048f22fccf96ca553ea4ab903f16	0	1	1	3	false	0	02ca048f22fccf96ca553ea4ab903f16	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax	0.804489814	A.lugubris1.USA.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Acidovorax	NA	0.804489814	A.lugubris1.USA.Wild.Bd.Inhibitory	Inhibitory
03a533c87ed1b0a0fbae13482427dd15	554.723809523809	7.42122186495177	0.00676862028975844	0.13474870017331	0.466666666666667	6	16	false	03a533c87ed1b0a0fbae13482427dd15	0	7	0	6	03a533c87ed1b0a0fbae13482427dd15	0	6	0.863378258192516	5	false	0	03a533c87ed1b0a0fbae13482427dd15	126840	0.273333333333333	0	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__; s__	0.999651758	Noninhibitory	Noninhibitory	k__Archaea	 p__Crenarchaeota	 c__Thaumarchaeota	 o__Cenarchaeales	 f__Cenarchaeaceae	 g__	 s__	0.999651758	Noninhibitory	Noninhibitory
03d501d858b10220f8f56ab401f8b410	1994.90842490842	6.20661157024793	0.0255562366926003	0.161118508655127	0	3	12	false	03d501d858b10220f8f56ab401f8b410	0	5.33333333333333	0	3	03d501d858b10220f8f56ab401f8b410	0	3	0.725967812092214	3	false	0	03d501d858b10220f8f56ab401f8b410	10482	0.541666666666667	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9944133	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	NA	NA	0.9944133	Noninhibitory	Noninhibitory
047735756066cc08e1422d33659f78e3	51.9820788530466	5.73311897106109	0.00186337223609296	0.174425126191812	0	4	12	false	047735756066cc08e1422d33659f78e3	0	28.75	0	4	047735756066cc08e1422d33659f78e3	0	4	0.899295341041253	3	false	0	047735756066cc08e1422d33659f78e3	196410	0.711538461538462	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	0.998606687	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingobium	NA	0.998606687	Noninhibitory	Noninhibitory
0483511ad55f6bc8287174dcf75eabfe	27.5049261083743	6.28938906752412	0	0.158997955010225	0	1	14	false	0483511ad55f6bc8287174dcf75eabfe	0	5	0	1	0483511ad55f6bc8287174dcf75eabfe	0	1	0.887459807073955	4	false	0	0483511ad55f6bc8287174dcf75eabfe	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__	0.936816979	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__	 s__	0.936816979	Noninhibitory	Noninhibitory
