Label	abundance	degree	name	negdegree	oriID	posdegree	samplecount	selected	shared.name	unknowndegree	Taxon	Confidence.x	database_id.x	Inhibitory.x	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence.y	database_id.y	Inhibitory.y
0104bd43ee50519180b2940a08e495f8	3.32857142857143	9	0104bd43ee50519180b2940a08e495f8	0	0104bd43ee50519180b2940a08e495f8	9	1	false	0104bd43ee50519180b2940a08e495f8	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__	0.957203876	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__	0.957203876	Noninhibitory	Noninhibitory
0226e17918578c57b9c1e3c0dec2ce51	106.207228915663	1	0226e17918578c57b9c1e3c0dec2ce51	0	0226e17918578c57b9c1e3c0dec2ce51	1	2	false	0226e17918578c57b9c1e3c0dec2ce51	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__	0.779043193	HP11E.USA.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Agrobacterium	 s__	0.779043193	HP11E.USA.Wild.Bd.Inhibitory	Inhibitory
026b137ceb23fadad8d4917352470ce9	218.376666666667	25	026b137ceb23fadad8d4917352470ce9	0	026b137ceb23fadad8d4917352470ce9	25	2	false	026b137ceb23fadad8d4917352470ce9	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Runella; s__	1	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Cytophagia	 o__Cytophagales	 f__Cytophagaceae	 g__Runella	 s__	1	Noninhibitory	Noninhibitory
030c33bd1fe417e19d57a8d5499d7c6f	1127.75	2	030c33bd1fe417e19d57a8d5499d7c6f	0	030c33bd1fe417e19d57a8d5499d7c6f	2	4	false	030c33bd1fe417e19d57a8d5499d7c6f	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__	0.941871955	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Phenylobacterium	 s__	0.941871955	Noninhibitory	Noninhibitory
03144a3f5d639d4de42fa07527452428	56.8246153846154	4	03144a3f5d639d4de42fa07527452428	0	03144a3f5d639d4de42fa07527452428	4	1	false	03144a3f5d639d4de42fa07527452428	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Zoogloea; s__	0.999827638	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Rhodocyclales	 f__Rhodocyclaceae	 g__Zoogloea	 s__	0.999827638	Noninhibitory	Noninhibitory
03a1f2a253e2bb6a98e63effa0d193e9	4068.03846153846	2	03a1f2a253e2bb6a98e63effa0d193e9	0	03a1f2a253e2bb6a98e63effa0d193e9	2	1	false	03a1f2a253e2bb6a98e63effa0d193e9	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans	0.988878165	CC6Q.USA.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__succinicans	0.988878165	CC6Q.USA.Wild.Bd.Inhibitory	Inhibitory
047735756066cc08e1422d33659f78e3	224.519713261649	1	047735756066cc08e1422d33659f78e3	0	047735756066cc08e1422d33659f78e3	1	3	false	047735756066cc08e1422d33659f78e3	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	0.998606687	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingobium	NA	0.998606687	Noninhibitory	Noninhibitory
05276dabd97bb322a736fa48f2e6a453	116.52	1	05276dabd97bb322a736fa48f2e6a453	0	05276dabd97bb322a736fa48f2e6a453	1	1	false	05276dabd97bb322a736fa48f2e6a453	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__	0.978061458	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__	 g__	 s__	0.978061458	Noninhibitory	Noninhibitory
05368ee8187b415dd6d4748d334c4820	178.908713692946	5	05368ee8187b415dd6d4748d334c4820	0	05368ee8187b415dd6d4748d334c4820	5	1	false	05368ee8187b415dd6d4748d334c4820	0	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__	0.999999997	Noninhibitory	Noninhibitory	k__Bacteria	 p__Cyanobacteria	 c__4C0d-2	 o__YS2	 f__	 g__	 s__	0.999999997	Noninhibitory	Noninhibitory
0556f46a264fa18ad669ed8be2d40016	13.5591397849463	19	0556f46a264fa18ad669ed8be2d40016	0	0556f46a264fa18ad669ed8be2d40016	19	2	false	0556f46a264fa18ad669ed8be2d40016	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	0.987681953	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Rhodospirillaceae	 g__	 s__	0.987681953	Noninhibitory	Noninhibitory
