Label	abundance	degree	name	negdegree	oriID	posdegree	samplecount	selected	shared.name	unknowndegree	Taxon	Confidence.x	database_id.x	Inhibitory.x	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence.y	database_id.y	Inhibitory.y
00579bd7411b49075df018e7a6367c01	274.614617940199	6	00579bd7411b49075df018e7a6367c01	0	00579bd7411b49075df018e7a6367c01	6	2	false	00579bd7411b49075df018e7a6367c01	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	0.998914167	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Myxococcales	 f__	 g__	 s__	0.998914167	Noninhibitory	Noninhibitory
00e150269ecc665d692a72b837db1043	5162.76168224299	12	00e150269ecc665d692a72b837db1043	0	00e150269ecc665d692a72b837db1043	12	11	false	00e150269ecc665d692a72b837db1043	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__	0.88544662	Mada.3447.Madagascar.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__	 g__	 s__	0.88544662	Mada.3447.Madagascar.Wild.Bd.Inhibitory	Inhibitory
030c33bd1fe417e19d57a8d5499d7c6f	81.82	8	030c33bd1fe417e19d57a8d5499d7c6f	0	030c33bd1fe417e19d57a8d5499d7c6f	8	1	false	030c33bd1fe417e19d57a8d5499d7c6f	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__	0.941871955	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Phenylobacterium	 s__	0.941871955	Noninhibitory	Noninhibitory
033fd5969b7694ae4aec3e71975ddbdf	575.490654205608	7	033fd5969b7694ae4aec3e71975ddbdf	0	033fd5969b7694ae4aec3e71975ddbdf	7	5	false	033fd5969b7694ae4aec3e71975ddbdf	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	0.98996339	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	NA	0.98996339	Noninhibitory	Noninhibitory
03a1f2a253e2bb6a98e63effa0d193e9	8261.67521367522	1	03a1f2a253e2bb6a98e63effa0d193e9	0	03a1f2a253e2bb6a98e63effa0d193e9	1	9	false	03a1f2a253e2bb6a98e63effa0d193e9	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans	0.988878165	CC6Q.USA.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__succinicans	0.988878165	CC6Q.USA.Wild.Bd.Inhibitory	Inhibitory
046b8313b63c590a0c5db6c12c831863	60.7520161290323	4	046b8313b63c590a0c5db6c12c831863	0	046b8313b63c590a0c5db6c12c831863	4	1	false	046b8313b63c590a0c5db6c12c831863	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.988509234	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__	0.988509234	Noninhibitory	Noninhibitory
0556f46a264fa18ad669ed8be2d40016	7.06989247311828	3	0556f46a264fa18ad669ed8be2d40016	0	0556f46a264fa18ad669ed8be2d40016	3	1	false	0556f46a264fa18ad669ed8be2d40016	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	0.987681953	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Rhodospirillaceae	 g__	 s__	0.987681953	Noninhibitory	Noninhibitory
068c5ca5a5c7da6e1838de061f9a833e	10.9128630705394	3	068c5ca5a5c7da6e1838de061f9a833e	0	068c5ca5a5c7da6e1838de061f9a833e	3	1	false	068c5ca5a5c7da6e1838de061f9a833e	0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	1	Noninhibitory	Noninhibitory	k__Bacteria	 p__Cyanobacteria	 c__Chloroplast	 o__Streptophyta	 f__	 g__	 s__	1	Noninhibitory	Noninhibitory
070cc7cefe482682f056e340a569c569	774.782857142857	9	070cc7cefe482682f056e340a569c569	0	070cc7cefe482682f056e340a569c569	9	2	false	070cc7cefe482682f056e340a569c569	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Dechloromonas; s__	0.979761751	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Rhodocyclales	 f__Rhodocyclaceae	 g__Dechloromonas	 s__	0.979761751	Noninhibitory	Noninhibitory
0724ee14bb12983a282a328003feaf95	85.8960396039603	13	0724ee14bb12983a282a328003feaf95	0	0724ee14bb12983a282a328003feaf95	13	2	false	0724ee14bb12983a282a328003feaf95	0	k__Bacteria; p__GN04; c__GN15; o__; f__; g__; s__	0.99979861	Noninhibitory	Noninhibitory	k__Bacteria	 p__GN04	 c__GN15	 o__	 f__	 g__	 s__	0.99979861	Noninhibitory	Noninhibitory
07af961f61ce5548bf1a5d3b8ccbd0ca	30.52	2	07af961f61ce5548bf1a5d3b8ccbd0ca	0	07af961f61ce5548bf1a5d3b8ccbd0ca	2	1	false	07af961f61ce5548bf1a5d3b8ccbd0ca	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Wolbachia; s__	0.999999992	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Wolbachia	 s__	0.999999992	Noninhibitory	Noninhibitory
07e37d6e6c8bff6299f270964bc042b4	22.1008403361345	3	07e37d6e6c8bff6299f270964bc042b4	0	07e37d6e6c8bff6299f270964bc042b4	3	1	false	07e37d6e6c8bff6299f270964bc042b4	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__CCU21; f__; g__; s__	0.999999968	Noninhibitory	Noninhibitory	k__Bacteria	 p__Acidobacteria	 c__Acidobacteria-6	 o__CCU21	 f__	 g__	 s__	0.999999968	Noninhibitory	Noninhibitory
08abc6dfcd8eccfcb0de4ae667cde68e	92.2079207920792	12	08abc6dfcd8eccfcb0de4ae667cde68e	0	08abc6dfcd8eccfcb0de4ae667cde68e	12	2	false	08abc6dfcd8eccfcb0de4ae667cde68e	0	k__Bacteria; p__SBR1093; c__VHS-B5-50; o__; f__; g__; s__	0.999999987	Noninhibitory	Noninhibitory	k__Bacteria	 p__SBR1093	 c__VHS-B5-50	 o__	 f__	 g__	 s__	0.999999987	Noninhibitory	Noninhibitory
095c18ce75acdc5d096dbaff2ea248b0	259.494186046512	12	095c18ce75acdc5d096dbaff2ea248b0	0	095c18ce75acdc5d096dbaff2ea248b0	12	2	false	095c18ce75acdc5d096dbaff2ea248b0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__australicum	0.999907005	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Pedomicrobium	 s__australicum	0.999907005	Noninhibitory	Noninhibitory
0a47c8b4a952345ae6f513786e026d91	304.024861878453	2	0a47c8b4a952345ae6f513786e026d91	0	0a47c8b4a952345ae6f513786e026d91	2	7	false	0a47c8b4a952345ae6f513786e026d91	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.999995639	Noninhibitory	Noninhibitory	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	NA	NA	NA	0.999995639	Noninhibitory	Noninhibitory
0ad744a1dc1d68477ad71013b0fa64e1	5.69333333333333	1	0ad744a1dc1d68477ad71013b0fa64e1	0	0ad744a1dc1d68477ad71013b0fa64e1	1	1	false	0ad744a1dc1d68477ad71013b0fa64e1	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Vitreoscilla; s__	0.992827632	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Neisseriales	 f__Neisseriaceae	 g__Vitreoscilla	 s__	0.992827632	Noninhibitory	Noninhibitory
0ae7fccbb85864f098b570fb7fd84e5e	4033.07878787879	18	0ae7fccbb85864f098b570fb7fd84e5e	0	0ae7fccbb85864f098b570fb7fd84e5e	18	4	false	0ae7fccbb85864f098b570fb7fd84e5e	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__	0.99997791	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__	0.99997791	Noninhibitory	Noninhibitory
0bebec29f8f82e2007caa25899aa2880	73.5902777777778	13	0bebec29f8f82e2007caa25899aa2880	0	0bebec29f8f82e2007caa25899aa2880	13	2	false	0bebec29f8f82e2007caa25899aa2880	0	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__	0.999988241	Noninhibitory	Noninhibitory	k__Bacteria	 p__Nitrospirae	 c__Nitrospira	 o__Nitrospirales	 f__Nitrospiraceae	 g__Nitrospira	 s__	0.999988241	Noninhibitory	Noninhibitory
