KO	Temperature	TimeWeekCat	Dose	mean	sd	n	se	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full
K00007	T14	A	d5x10.3	0.00166048900782471	0.00215987964702698	8	0.000269984955878372	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	d5x10.3	0.00166048900782471	0.00215987964702698	8	0.000269984955878372	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	d5x10.4	0.00146457333360851	0.00154881073479164	10	0.000154881073479164	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	d5x10.4	0.00146457333360851	0.00154881073479164	10	0.000154881073479164	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	d5x10.5	0.000567232137870942	0.000363175717783306	9	4.03528575314784e-05	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	d5x10.5	0.000567232137870942	0.000363175717783306	9	4.03528575314784e-05	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	d5x10.6	0.00194412462947602	0.00192433031945351	9	0.000213814479939279	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	d5x10.6	0.00194412462947602	0.00192433031945351	9	0.000213814479939279	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	dControl	0.000870945654441128	0.000720415381372351	3	0.00024013846045745	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	A	dControl	0.000870945654441128	0.000720415381372351	3	0.00024013846045745	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	B	d5x10.3	0.00239870968376298	0.00271490963951062	8	0.000339363704938827	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	B	d5x10.3	0.00239870968376298	0.00271490963951062	8	0.000339363704938827	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	B	d5x10.4	0.00145894973241409	0.00235170305774497	8	0.000293962882218121	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	B	d5x10.4	0.00145894973241409	0.00235170305774497	8	0.000293962882218121	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	B	d5x10.5	0.00821927035869902	0.00937644907142655	8	0.00117205613392832	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
