KO	variable	value	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full
K16370	22	-0.896817198890256	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	22	-0.896817198890256	Metabolism	Carbohydrate metabolism	Glycolysis	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	22	-0.896817198890256	Metabolism	Energy metabolism	Methane metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	22	-0.896817198890256	Metabolism	Carbohydrate metabolism	Galactose metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16370	22	-0.896817198890256	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	pfkB	6-phosphofructokinase2	2.7.1.11			 pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K05779	14	-0.745662806166933	Protein families: signaling and cellular processes	Enzymes	Transporters	ABC.VB1X.A	putativethiaminetransportsystemATP-bindingprotein				 ABC.VB1X.A; putative thiamine transport system ATP-binding protein
K03619	14	-0.695100915855696	Not included in pathway or Brite	Unclassified: signaling and cellular processes	General function prediction only	hyaE	hydrogenase-1operonproteinHyaE				 hyaE; hydrogenase-1 operon protein HyaE
K00284	14	-0.652090128985627	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00284	14	-0.652090128985627	Protein families: metabolisms	Enzymes	Peptidases	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00284	14	-0.652090128985627	Metabolism	Energy metabolism	Nitrogen metabolism	GLU,gltS	glutamatesynthase(ferredoxin)	1.4.7.1			 GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
