Network Name	Dose	Temp	Time	No_nodes	No_edges	Avg_num_neighbors	Net_diameter	Net_radius	Characteristic_path_length	Clus_coeffi	Network_density	Network_hetero	Network_centralization
Dosectrl,T=6	0.00	6	A	187	4070	43.529	4	3	2.007	0.7	0.234	0.251	0.144
Dose103,T=6	5000.00	6	A	297	2217	15.024	9	5	4.089	0.706	0.051	0.565	0.075
Dose104,T=6	50000.00	6	A	322	2486	15.464	8	5	3.875	0.646	0.051	0.606	0.068
Dose105,T=6	500000.00	6	A	306	2354	15.386	9	5	4.423	0.682	0.05	0.698	0.094
Dose106,T=6	5000000.00	6	A	335	3229	19.278	8	5	3.885	0.726	0.058	0.592	0.062
Dosectrl,T=14	0.00	14	A	176	7682	87.296	3	3	1.691	0.87	0.499	0.162	0.114
Dose103,T=14	5000.00	14	A	401	6297	31.406	6	4	3.053	0.728	0.079	0.442	0.089
Dose104,T=14	50000.00	14	A	502	8153	32.806	8	5	3.748	0.712	0.069	0.767	0.107
Dose105,T=14	500000.00	14	A	439	6401	29.162	6	4	3.189	0.689	0.067	0.651	0.087
Dose106,T=14	5000000.00	14	A	434	6121	28.207	6	4	3.281	0.702	0.065	0.567	0.076
Dosectrl,T=22	0.00	22	A	182	4044	44.44	3	3	1.943	0.69	0.246	0.384	0.154
Dose103,T=22	5000.00	22	A	304	2397	15.77	9	5	4.085	0.702	0.052	0.585	0.067
Dose104,T=22	50000.00	22	A	293	2217	15.194	8	5	3.871	0.659	0.055	0.722	0.094
Dose105,T=22	500000.00	22	A	311	2539	16.347	10	6	4.056	0.648	0.056	0.675	0.078
Dose106,T=22	5000000.00	22	A	331	2818	17.027	10	6	4.106	0.705	0.052	0.54	0.049
Dosectrl,T=6	0.00	6	B	232	5698	49.121	4	3	2.099	0.799	0.213	0.215	0.148
Dose103,T=6	5000.00	6	B	389	5819	29.918	10	6	4.036	0.754	0.077	0.697	0.099
Dose104,T=6	50000.00	6	B	362	5054	27.923	8	6	3.726	0.742	0.077	0.752	0.117
Dose105,T=6	500000.00	6	B	356	5312	29.843	8	4	3.15	0.739	0.084	0.551	0.102
Dose106,T=6	5000000.00	6	B	429	7677	35.79	6	4	3.187	0.778	0.084	0.508	0.123
Dosectrl,T=14	0.00	14	B	94	1770	37.66	3	2	1.636	0.766	0.405	0.365	0.234
Dose103,T=14	5000.00	14	B	257	3267	25.424	11	6	3.989	0.804	0.099	0.588	0.164
Dose104,T=14	50000.00	14	B	218	2431	23.531	8	5	3.94	0.816	0.121	0.667	0.148
Dose105,T=14	500000.00	14	B	142	795	8.479	10	5	4.049	0.665	0.073	0.442	0.057
Dose106,T=14	5000000.00	14	B	164	996	14.803	11	6	4.12	0.788	0.128	0.563	0.098
Dosectrl,T=22	0.00	22	B	184	3832	41.652	4	3	1.989	0.684	0.228	0.2	0.14
Dose103,T=22	5000.00	22	B	307	2347	15.29	10	5	4.393	0.688	0.05	0.589	0.078
Dose104,T=22	50000.00	22	B	251	1906	15.187	10	5	4.093	0.66	0.061	0.703	0.092
Dose105,T=22	500000.00	22	B	230	1398	12.157	13	7	5.205	0.695	0.053	0.573	0.065
Dose106,T=22	5000000.00	22	B	252	1416	11.388	9	5	4.474	0.673	0.047	0.507	0.04
