Network Name	Dose	Temp	No_nodes	No_edges	Avg_num_neighbors	Net_diameter	Net_radius	Characteristic_path_length	Clus_coeffi	Network_density	Network_hetero	Network_centralization
Dosectrl,T=6	0.00	6	45	1628	5.592	0	0	0.092	0.099	-0.021	-0.036	0.004
Dose103,T=6	5000.00	6	92	3602	14.894	1	1	-0.053	0.048	0.026	0.132	0.024
Dose104,T=6	50000.00	6	40	2568	12.459	0	1	-0.149	0.096	0.026	0.146	0.049
Dose105,T=6	500000.00	6	50	2958	14.457	-1	-1	-1.273	0.057	0.034	-0.147	0.008
Dose106,T=6	5000000.00	6	94	4448	16.512	-2	-1	-0.698	0.052	0.026	-0.084	0.061
Dosectrl,T=14	0.00	14	-82	-5912	-49.636	0	-1	-0.055	-0.104	-0.094	0.203	0.12
Dose103,T=14	5000.00	14	-144	-3030	-5.982	5	2	0.936	0.076	0.02	0.146	0.075
Dose104,T=14	50000.00	14	-284	-5722	-9.275	0	0	0.192	0.104	0.052	-0.1	0.041
Dose105,T=14	500000.00	14	-297	-5606	-20.683	4	1	0.86	-0.024	0.006	-0.209	-0.03
Dose106,T=14	5000000.00	14	-270	-5125	-13.404	5	2	0.839	0.086	0.063	-0.004	0.022
Dosectrl,T=22	0.00	22	2	-212	-2.788	1	0	0.046	-0.006	-0.018	-0.184	-0.014
Dose103,T=22	5000.00	22	3	-50	-0.48	1	0	0.308	-0.014	-0.002	0.004	0.011
Dose104,T=22	50000.00	22	-42	-311	-0.007	2	0	0.222	0.001	0.006	-0.019	-0.002
Dose105,T=22	500000.00	22	-81	-1141	-4.19	3	1	1.149	0.047	-0.003	-0.102	-0.013
Dose106,T=22	5000000.00	22	-79	-1402	-5.639	-1	-1	0.368	-0.032	-0.005	-0.033	-0.009
