Cat	Temp	Time	Time2	No_nodes	No_edges	Avg_num_neighbors	Net_diameter	Net_radius	Characteristic_path_length	Clus_coeffi	Network_density	Network_hetero	Network_centralization
Exposed	6	0	A	297	2217	15.024	9	5	4.089	0.706	0.051	0.565	0.075
Exposed	6	1	B	389	5819	29.918	10	6	4.036	0.754	0.077	0.697	0.099
Exposed	6	2	C	253	1575	12.67	11	6	4.559	0.696	0.055	0.613	0.071
Exposed	6	3	D	150	677	8.085	17	9	6.67	0.697	0.07	0.515	0.061
Exposed	6	4	E	220	1463	13.54	10	6	4.552	0.658	0.064	0.644	0.06
Exposed	6	5	F	168	894	11.213	12	7	4.754	0.713	0.073	0.46	0.078
Exposed	6	6	G	189	1196	12.656	8	5	3.592	0.689	0.067	0.513	0.083
Exposed	6	7	H	164	1214	14.805	9	5	3.905	0.756	0.091	0.671	0.132
Exposed	14	0	A	633	4077	14.255	24	12	7.223	0.694	0.029	0.626	0.042
Exposed	14	1	B	538	5512	21.402	18	10	6.582	0.75	0.042	0.842	0.092
Exposed	14	2	C	595	4362	15.245	30	15	11.501	0.738	0.028	0.684	0.036
Exposed	14	3	D	613	6673	25.822	21	11	6.866	0.765	0.055	0.792	0.079
Exposed	14	4	E	567	8364	31.992	17	9	5.196	0.793	0.062	0.805	0.099
Exposed	22	0	A	635	8590	27.928	16	9	6.018	0.764	0.046	0.925	0.081
Exposed	22	1	B	576	7062	26.476	19	10	6.838	0.757	0.051	0.931	0.099
Exposed	22	2	C	615	5654	19.774	19	11	7.278	0.713	0.035	0.765	0.049
Exposed	22	3	D	500	4461	18.164	14	8	5.737	0.711	0.037	0.689	0.049
Exposed	22	4	E	502	3735	15.856	21	11	7.822	0.727	0.036	0.736	0.055
Exposed	22	5	F	582	4877	17.64	16	9	6.688	0.723	0.032	0.696	0.056
Exposed	22	6	G	545	4323	16.187	17	10	6.9	0.681	0.033	0.815	0.065
Exposed	22	7	H	551	4277	16.011	22	13	8.678	0.724	0.03	0.636	0.034
Control	6	0	A	297	2217	15.024	9	5	4.089	0.706	0.051	0.565	0.075
Control	6	1	B	292	2173	14.72352	9	5	4.00722	0.69188	0.04998	0.5537	0.0735
Control	6	2	C	295	2195	14.8707552	10	6	4.0472922	0.6987988	0.0504798	0.559237	0.074235
Control	6	3	D	298	2217	15.01946275	11	7	4.087765122	0.705786788	0.050984598	0.56482937	0.07497735
Control	6	4	E	293	2173	14.7190735	11	7	4.00600982	0.691671052	0.049964906	0.553532783	0.073477803
Control	6	5	F	296	2195	14.86626423	12	8	4.046069918	0.698587763	0.050464555	0.55906811	0.074212581
Control	6	6	G	299	2217	15.01492687	13	9	4.086530617	0.70557364	0.050969201	0.564658792	0.074954707
Control	6	7	H	294	2173	14.71462834	13	9	4.004800005	0.691462168	0.049949817	0.553365616	0.073455613
Control	14	0	A	289	2130	14.42033577	13	9	3.924704005	0.677632924	0.04895082	0.542298303	0.0719865
Control	14	1	B	292	2152	14.56453913	14	10	3.963951045	0.684409253	0.049440329	0.547721286	0.072706365
Control	14	2	C	287	2109	14.27324835	14	10	3.884672024	0.670721068	0.048451522	0.536766861	0.071252238
Control	14	3	D	282	2067	13.98778338	14	10	3.806978583	0.657306647	0.047482491	0.526031523	0.071252238
Control	14	4	E	285	2088	14.12766121	15	11	3.845048369	0.663879714	0.047957316	0.531291839	0.071964761
Control	14	5	F	280	2047	13.84510799	15	11	3.768147402	0.650602119	0.04699817	0.520666002	0.070525465
Control	14	6	G	275	2007	13.56820583	15	11	3.692784454	0.637590077	0.046058207	0.510252682	0.071252238
Control	14	7	H	278	2028	13.70388789	16	12	3.729712298	0.643965978	0.046518789	0.515355209	0.071964761
Control	22	0	A	273	1988	13.42981013	16	12	3.655118052	0.631086658	0.045588413	0.505048105	0.070525465
Control	22	1	B	268	1949	13.16121393	16	12	3.582015691	0.618464925	0.044676645	0.494947142	0.071252238
Control	22	2	C	271	1969	13.29282607	17	13	3.617835848	0.624649574	0.045123411	0.499896614	0.071964761
Control	22	3	D	266	1930	13.02696954	17	13	3.545479131	0.612156583	0.044220943	0.489898682	0.070525465
Control	22	4	E	261	1892	12.76643015	17	13	3.474569548	0.599913451	0.043336524	0.480100708	0.069114956
Control	22	5	F	264	1911	12.89409445	18	14	3.509315244	0.605912586	0.043769889	0.484901715	0.071964761
Control	22	6	G	259	1873	12.63621257	18	14	3.439128939	0.593794334	0.042894492	0.475203681	0.070525465
Control	22	7	H	262	1892	12.76257469	19	15	3.473520228	0.599732277	0.043323436	0.479955718	0.07123072
