Network Name	Dose	Temp	Sloan_neutral_null_dev	Tucket_neutral_null_dev
Dosectrl,T=6	0.00	6	0.76	0.78
Dose103,T=6	5000.00	6	0.76	0.8
Dose104,T=6	50000.00	6	0.77	0.78
Dose105,T=6	500000.00	6	0.76	0.79
Dose106,T=6	5000000.00	6	0.78	0.76
Dosectrl,T=14	0.00	14	0.79	0.8
Dose103,T=14	5000.00	14	0.76	0.78
Dose104,T=14	50000.00	14	0.78	0.77
Dose105,T=14	500000.00	14	0.88	0.83
Dose106,T=14	5000000.00	14	0.91	0.84
Dosectrl,T=22	0.00	22	0.68	0.72
Dose103,T=22	5000.00	22	0.71	0.7
Dose104,T=22	50000.00	22	0.73	0.7
Dose105,T=22	500000.00	22	0.78	0.75
Dose106,T=22	5000000.00	22	0.8	0.77
