OTU	NSF6.NOVI.1PM1	NSF6.NOVI.1M3	NSF6.NOVI.PM5	NSF22.NOVI.PM3	NSF22.NOVI.PM2	NSF22.NOVI.PM1	NSF22.NOVI.1M1	NSF6.NOVI.1M1	NSF6.NOVI.PM4	NSF22.NOVI.1M3	NSF14.NOVI.1PM1	NSF22.NOVI.1M2	NSF6.NOVI.PM3	NSF22.NOVI.PM4	NSF6.NOVI.1M4	NSF6.NOVI.1M2	NSF22.NOVI.PM5	NSF22.NOVI.1M5	NSF6.NOVI.PM2	NSF6.NOVI.1M5	NSF22.NOVI.1M4	NSF6.NOVI.5M3	NSF22.NOVI.4M3	NSF6.NOVI.6M1	NSF6.NOVI.6M2	NSF22.NOVI.3M4	NSF6.NOVI.2M2	NSF22.NOVI.7M5	NSF22.NOVI.7M1	NSF22.NOVI.6M4	NSF6.NOVI.2M1	NSF14.NOVI.1M2	NSF6.NOVI.6M4	NSF6.NOVI.7M1	NSF6.NOVI.7M5	NSF6.NOVI.3M5	NSF22.NOVI.6M2	NSF6.NOVI.2M4	NSF6.NOVI.3M1	NSF22.NOVI.3M2	NSF14.NOVI.1M4	NSF22.NOVI.4M5	NSF14.NOVI.1M3	NSF6.NOVI.7M4	NSF6.NOVI.4M5	NSF6.NOVI.3M4	NSF22.NOVI.2M2	NSF22.NOVI.7M2	NSF6.NOVI.7M2	NSF6.NOVI.4M3	NSF22.NOVI.5M3	NSF22.NOVI.7M4	NSF14.NOVI.PM4	NSF22.NOVI.3M5	NSF22.NOVI.3M1	NSF6.NOVI.8M1	NSF22.NOVI.2M4	NSF6.NOVI.3M2	NSF22.NOVI.6M1	NSF14.NOVI.PM3	NSF22.NOVI.7M3	NSF6.NOVI.4M1	NSF22.NOVI.2M3	NSF6.NOVI.4M4	NSF6.NOVI.5M1	NSF6.NOVI.5M5	NSF22.NOVI.2M5	NSF6.NOVI.4M2	NSF14.NOVI.1M5	NSF6.NOVI.3M3	NSF6.NOVI.7M3	NSF22.NOVI.5M2	NSF22.NOVI.2M1	NSF22.NOVI.4M1	NSF22.NOVI.4M2	NSF22.NOVI.6M5	NSF6.NOVI.8M4	NSF6.NOVI.2M3	NSF6.NOVI.5M2	NSF6.NOVI.6M3	NSF6.NOVI.8M3	NSF6.NOVI.2M5	NSF22.NOVI.6M3	NSF6.NOVI.6M5	NSF6.NOVI.8M5	NSF22.NOVI.3M3	NSF22.NOVI.5M1	NSF6.NOVI.8M2	NSF22.NOVI.5M5	NSF14.NOVI.6M4	NSF14.NOVI.4M1	NSF14.NOVI.4M3	NSF14.NOVI.4M5	NSF14.NOVI.4M2	NSF14.NOVI.5M3	NSF14.NOVI.3M4	NSF14.NOVI.5M5	NSF14.NOVI.5M1	NSF14.NOVI.2M2	NSF14.NOVI.3M2	NSF14.NOVI.7M2	NSF14.NOVI.3M3	NSF14.NOVI.2M1	NSF14.NOVI.5M2	NSF14.NOVI.5M4	NSF14.NOVI.3M5	NSF14.NOVI.7M3	NSF14.NOVI.6M2	NSF14.NOVI.3M1	NSF14.NOVI.6M5	NSF14.NOVI.2M5	NSF14.NOVI.4M4	NSF14.NOVI.2M3	NSF14.NOVI.2M4	NSF14.NOVI.6M1	NSF14.NOVI.6M3
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257.142857142857	17.4717607973422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	126.995327102804	5.98598130841121	1299.94392523364	224.158878504673	1180.72897196262	316.995327102804	156.808411214953	285.070093457944	1526.20560747664	94.0327102803738	206.799065420561	164.710280373832	176.009345794393	3562.32710280374	37.5467289719626	253.406542056075	3026.26168224299	178.81308411215	964.490654205607	178.168224299065	118.420560747664	0	343.084112149533	0	0	71.9392523364486	0	2340.88317757009	511.696261682243	165.794392523364	0	14.214953271028	0	0	0	0	256.831775700935	308.939252336449	0	77.303738317757	0	287.252336448598	989.481308411215	0	0	0	34.9158878504673	100.831775700935	0	0	80.6728971962617	243.018691588785	0	284.191588785047	613.518691588785	0	71.0046728971963	0	2098.18691588785	0	156.322429906542	0	200.785046728972	0	0	0	48.285046728972	0	0	0	0	42.2242990654206	297.35046728972	651.359813084112	278	3590.91588785047	0	0	0	0	0	0	0	0	0	53.0140186915888	1732.45327102804	0	357.140186915888	0	0	43.6915887850467	0	962.056074766355	30.9672897196262	0	0	0	124.906542056075	7424.28971962617	0	123.369158878505	127.822429906542	439.831775700935	0	0	14.8644859813084	0	226.471962616822	0	0	46.3598130841121	161.948598130841	2.45794392523364	0	2.49532710280374
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.50666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	0	0	311.592771084337	0	0	0	0	0	0	0	415.238554216867	0	0	0	0	6297.85542168675	956.648192771084	0	0	162.838554216867	0	60.7734939759036	0	0	13.910843373494	0	603.55421686747	0	0	0	0	0	0	0	0	0	0	0	16.4939759036145	0	3461.19759036145	0	0	0	0	8.00240963855422	0	0	0	0	0	0	595.072289156627	0	0	62.1349397590361	0	0	0	0	0	46.2602409638554	0	0	0	522.886746987952	0	0	0	0	0	0	0	0	1767.53253012048	0	0	0	0	0	0	0	0	0	3.41686746987952	0	0	195.556626506024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	11.9833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
