OTU	NSF14.NOVI.1M21	NSF14.NOVI.PM18	NSF14.NOVI.1M22	NSF14.NOVI.PM9	NSF14.NOVI.PM23	NSF14.NOVI.PM17	NSF14.NOVI.PM20	NSF14.NOVI.1M45	NSF14.NOVI.1M32	NSF14.NOVI.PM35	NSF14.NOVI.1M34	NSF14.NOVI.1M7	NSF14.NOVI.PM42	NSF14.NOVI.1M36	NSF14.NOVI.PM28	NSF14.NOVI.1M8	NSF14.NOVI.PM13	NSF14.NOVI.1M26	NSF14.NOVI.PM27	NSF14.NOVI.1M24	NSF14.NOVI.1M18	NSF14.NOVI.PM29	NSF14.NOVI.PM45	NSF14.NOVI.PM30	NSF14.NOVI.1M31	NSF14.NOVI.PM34	NSF14.NOVI.1M14	NSF14.NOVI.PM6	NSF14.NOVI.1M38	NSF14.NOVI.PM41	NSF14.NOVI.1M27	NSF14.NOVI.PM19	NSF14.NOVI.1M28	NSF14.NOVI.PM44	NSF14.NOVI.PM21	NSF14.NOVI.PM15	NSF14.NOVI.1PM1	NSF14.NOVI.1M40	NSF14.NOVI.PM31	NSF14.NOVI.PM11	NSF14.NOVI.1M42	NSF14.NOVI.1M29	NSF14.NOVI.PM25	NSF14.NOVI.PM7	NSF14.NOVI.PM40	NSF14.NOVI.PM37	NSF14.NOVI.1M39	NSF14.NOVI.PM38	NSF14.NOVI.1M44	NSF14.NOVI.1M23	NSF14.NOVI.1M33	NSF14.NOVI.PM32	NSF14.NOVI.PM39	NSF14.NOVI.PM10	NSF14.NOVI.PM22	NSF14.NOVI.PM16	NSF14.NOVI.1M16	NSF14.NOVI.PM12	NSF14.NOVI.1M12	NSF14.NOVI.PM43	NSF14.NOVI.PM24	NSF14.NOVI.PM26	NSF14.NOVI.1M6	NSF14.NOVI.1M13	NSF14.NOVI.1M9	NSF14.NOVI.1M37	NSF14.NOVI.1M19	NSF14.NOVI.1M17	NSF14.NOVI.1M11	NSF14.NOVI.1M41	NSF14.NOVI.5M8	NSF14.NOVI.1M43	NSF14.NOVI.4M12	NSF14.NOVI.2M9	NSF14.NOVI.3M7	NSF14.NOVI.6M8	NSF14.NOVI.4M9	NSF14.NOVI.4M15	NSF14.NOVI.4M10	NSF14.NOVI.3M13	NSF14.NOVI.2M7	NSF14.NOVI.3M9	NSF14.NOVI.3M11	NSF14.NOVI.2M13	NSF14.NOVI.2M15	NSF14.NOVI.3M15	NSF14.NOVI.2M12	NSF14.NOVI.3M8	NSF14.NOVI.3M12	NSF14.NOVI.2M6	NSF14.NOVI.2M14	NSF14.NOVI.3M14	NSF14.NOVI.3M10	NSF14.NOVI.4M13	NSF14.NOVI.3M6	NSF14.NOVI.2M8	NSF14.NOVI.7M8	NSF14.NOVI.2M11	NSF14.NOVI.4M8	NSF14.NOVI.4M11	NSF14.NOVI.4M7	NSF14.NOVI.1M2	NSF14.NOVI.1M4	NSF14.NOVI.1M3	NSF14.NOVI.PM4	NSF14.NOVI.PM3	NSF14.NOVI.1M5	NSF14.NOVI.6M4	NSF14.NOVI.4M1	NSF14.NOVI.4M3	NSF14.NOVI.4M5	NSF14.NOVI.4M2	NSF14.NOVI.5M3	NSF14.NOVI.3M4	NSF14.NOVI.5M5	NSF14.NOVI.5M1	NSF14.NOVI.2M2	NSF14.NOVI.3M2	NSF14.NOVI.7M2	NSF14.NOVI.3M3	NSF14.NOVI.2M1	NSF14.NOVI.5M2	NSF14.NOVI.5M4	NSF14.NOVI.3M5	NSF14.NOVI.7M3	NSF14.NOVI.6M2	NSF14.NOVI.3M1	NSF14.NOVI.6M5	NSF14.NOVI.2M5	NSF14.NOVI.4M4	NSF14.NOVI.2M3	NSF14.NOVI.2M4	NSF14.NOVI.6M1	NSF14.NOVI.6M3
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	0	0	871.64953271028	199.551401869159	318.654205607477	0	136.803738317757	999.233644859813	171.869158878505	14.981308411215	422.289719626168	0	149.014018691589	53.3831775700935	12.303738317757	146.929906542056	1208.22429906542	0	193.252336448598	47.9205607476636	0	15.8598130841121	1157.35981308411	73.481308411215	37.2570093457944	331.775700934579	30.6542056074766	57.6728971962617	577.196261682243	86.3364485981308	585.182242990654	1603.40654205607	474.242990654206	20.8224299065421	1253.18224299065	100.757009345794	206.799065420561	0	147.560747663551	34.892523364486	0	0	38.6401869158878	345.196261682243	84.7476635514019	216.953271028037	0	2418.96728971963	144.261682242991	0	955.644859813084	132.294392523364	100.448598130841	7.25700934579439	1151.78504672897	3607.92990654206	2022.29906542056	36.6588785046729	920.098130841121	7472.80841121495	161.593457943925	56.9719626168224	317.869158878505	191.341121495327	0	0	0	0	1272.20560747664	0	0	1669.33177570093	3256.67757009346	1370.01869158879	1865.75700934579	0	3052.47196261682	4.63084112149533	0	14.8691588785047	2683.64018691589	615.738317757009	5254.19158878505	0	219.906542056075	175.827102803738	851.658878504673	17631.8177570093	3186.23364485981	1076.73364485981	912.313084112149	6537.21962616822	0	166.289719626168	1095.47663551402	291.233644859813	0	5691.97196261682	2279.22897196262	43054.6869158878	62.8130841121495	14.214953271028	0	989.481308411215	0	0	0	0	0	43.6915887850467	0	962.056074766355	30.9672897196262	0	0	0	124.906542056075	7424.28971962617	0	123.369158878505	127.822429906542	439.831775700935	0	0	14.8644859813084	0	226.471962616822	0	0	46.3598130841121	161.948598130841	2.45794392523364	0	2.49532710280374
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.50666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.8128571428571	0	0	0	0	0	3.32857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452.031325301205	0	0	0	0	0	0	0	0	0	0	0	0	5.0289156626506	0	0	0	0	0	0	0	0	0	120.077108433735	0	0	0	0	0	84.2265060240964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.674698795181	0	0	229.546987951807	0	0	0	0	0	20.4578313253012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.7493975903614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	94.4866666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8533333333333	0	0	0	0	0	52.71	0	0	0	0	0	0	0	0	0	0	0	0	0	165.666666666667	0	1470.66	0	0	0	2047.91666666667	62.4366666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
