OTU	NSF22.NOVI.1M25	NSF22.NOVI.7M9	NSF22.NOVI.PM20	NSF22.NOVI.6M10	NSF22.NOVI.1M15	NSF22.NOVI.PM42	NSF22.NOVI.5M13	NSF22.NOVI.8M6	NSF22.NOVI.1M21	NSF22.NOVI.1M9	NSF22.NOVI.1M37	NSF22.NOVI.PM19	NSF22.NOVI.1M29	NSF22.NOVI.PM3	NSF22.NOVI.PM2	NSF22.NOVI.8M8	NSF22.NOVI.6M15	NSF22.NOVI.5M14	NSF22.NOVI.PM1	NSF22.NOVI.1M6	NSF22.NOVI.1M28	NSF22.NOVI.PM43	NSF22.NOVI.1M33	NSF22.NOVI.PM36	NSF22.NOVI.PM21	NSF22.NOVI.3M6	NSF22.NOVI.1M1	NSF22.NOVI.8M11	NSF22.NOVI.7M6	NSF22.NOVI.1M36	NSF22.NOVI.2M11	NSF22.NOVI.6M14	NSF22.NOVI.5M15	NSF22.NOVI.8M9	NSF22.NOVI.7M11	NSF22.NOVI.7M8	NSF22.NOVI.1M13	NSF22.NOVI.6M13	NSF22.NOVI.2M7	NSF22.NOVI.PM11	NSF22.NOVI.1M17	NSF22.NOVI.5M12	NSF22.NOVI.PM16	NSF22.NOVI.1M8	NSF22.NOVI.PM39	NSF22.NOVI.5M7	NSF22.NOVI.4M11	NSF22.NOVI.1M26	NSF22.NOVI.4M7	NSF22.NOVI.PM34	NSF22.NOVI.PM29	NSF22.NOVI.1M20	NSF22.NOVI.6M8	NSF22.NOVI.6M6	NSF22.NOVI.3M12	NSF22.NOVI.6M12	NSF22.NOVI.PM33	NSF22.NOVI.PM28	NSF22.NOVI.PM32	NSF22.NOVI.1M3	NSF22.NOVI.1M18	NSF22.NOVI.1M42	NSF22.NOVI.6M9	NSF22.NOVI.PM9	NSF22.NOVI.1M34	NSF22.NOVI.2M13	NSF22.NOVI.7M7	NSF22.NOVI.2M8	NSF22.NOVI.PM24	NSF22.NOVI.1M40	NSF22.NOVI.8M13	NSF22.NOVI.PM23	NSF22.NOVI.7M15	NSF22.NOVI.1M7	NSF22.NOVI.3M7	NSF22.NOVI.1M27	NSF22.NOVI.PM17	NSF22.NOVI.PM45	NSF22.NOVI.PM6	NSF22.NOVI.3M11	NSF22.NOVI.2M14	NSF22.NOVI.PM30	NSF22.NOVI.6M11	NSF22.NOVI.1M23	NSF22.NOVI.2M6	NSF22.NOVI.8M14	NSF22.NOVI.PM25	NSF22.NOVI.PM31	NSF22.NOVI.1M35	NSF22.NOVI.PM8	NSF22.NOVI.PM38	NSF22.NOVI.1M2	NSF22.NOVI.PM10	NSF22.NOVI.8M15	NSF22.NOVI.8M7	NSF22.NOVI.1M38	NSF22.NOVI.PM22	NSF22.NOVI.8M10	NSF22.NOVI.PM7	NSF22.NOVI.2M10	NSF22.NOVI.1M41	NSF22.NOVI.PM44	NSF22.NOVI.2M9	NSF22.NOVI.7M10	NSF22.NOVI.7M14	NSF22.NOVI.1M19	NSF22.NOVI.4M9	NSF22.NOVI.5M9	NSF22.NOVI.PM14	NSF22.NOVI.1M45	NSF22.NOVI.PM27	NSF22.NOVI.4M15	NSF22.NOVI.PM4	NSF22.NOVI.3M14	NSF22.NOVI.1M14	NSF22.NOVI.3M13	NSF22.NOVI.4M10	NSF22.NOVI.1M31	NSF22.NOVI.PM41	NSF22.NOVI.PM13	NSF22.NOVI.2M12	NSF22.NOVI.PM5	NSF22.NOVI.7M12	NSF22.NOVI.PM26	NSF22.NOVI.1M43	NSF22.NOVI.8M12	NSF22.NOVI.PM35	NSF22.NOVI.5M6	NSF22.NOVI.1M5	NSF22.NOVI.5M8	NSF22.NOVI.4M8	NSF22.NOVI.4M14	NSF22.NOVI.PM15	NSF22.NOVI.1M16	NSF22.NOVI.PM12	NSF22.NOVI.1M44	NSF22.NOVI.3M15	NSF22.NOVI.PM40	NSF22.NOVI.1M10	NSF22.NOVI.1M30	NSF22.NOVI.6M7	NSF22.NOVI.1M12	NSF22.NOVI.5M10	NSF22.NOVI.1M4	NSF22.NOVI.4M6	NSF22.NOVI.1M32	NSF22.NOVI.4M12	NSF22.NOVI.PM18	NSF22.NOVI.PM37	NSF22.NOVI.2M15	NSF22.NOVI.4M13	NSF22.NOVI.1M39	NSF22.NOVI.1M22	NSF22.NOVI.5M11	NSF22.NOVI.1M11	NSF22.NOVI.4M3	NSF22.NOVI.3M4	NSF22.NOVI.7M5	NSF22.NOVI.7M1	NSF22.NOVI.6M4	NSF22.NOVI.6M2	NSF22.NOVI.3M2	NSF22.NOVI.4M5	NSF22.NOVI.2M2	NSF22.NOVI.7M2	NSF22.NOVI.5M3	NSF22.NOVI.7M4	NSF22.NOVI.3M5	NSF22.NOVI.3M1	NSF22.NOVI.2M4	NSF22.NOVI.6M1	NSF22.NOVI.7M3	NSF22.NOVI.2M3	NSF22.NOVI.2M5	NSF22.NOVI.5M2	NSF22.NOVI.2M1	NSF22.NOVI.4M1	NSF22.NOVI.4M2	NSF22.NOVI.6M5	NSF22.NOVI.6M3	NSF22.NOVI.3M3	NSF22.NOVI.5M1	NSF22.NOVI.5M5
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	1407.64018691589	4549.04205607477	12467.6542056075	1267.73831775701	1472.52336448598	5502.04205607477	546.46261682243	2264.07476635514	318.228971962617	717.144859813084	96.7336448598131	1286.21962616822	193.757009345794	224.158878504673	1180.72897196262	644.728971962617	1905.64485981308	8939.38785046729	316.995327102804	379.546728971963	33.803738317757	10242.8691588785	75.8084112149533	5593.78037383178	731.313084112149	52.1448598130841	156.808411214953	1102.48130841121	787.18691588785	0	125.934579439252	1214.65887850467	7968.96261682243	692.939252336449	2108.91588785047	81.5046728971963	287.663551401869	472.135514018692	364.710280373832	2657.73831775701	41.5280373831776	1996.35046728972	6861.14953271028	242.023364485981	2146.84579439252	620.607476635514	674.070093457944	130.411214953271	321.060747663551	11307.5514018692	296.700934579439	77.9766355140187	9266.5046728972	105.042056074766	221.626168224299	336.070093457944	661.57476635514	5943.28504672897	2020.70093457944	94.0327102803738	339.271028037383	681.761682242991	10758.8551401869	33674.4906542056	8823.61682242991	245.88785046729	723.995327102804	138.794392523364	2317.18691588785	313.35046728972	3288.76635514019	68.7990654205607	1403.48598130841	271.144859813084	29.285046728972	174.85046728972	2040.3738317757	507.654205607477	1615.51401869159	123.514018691589	340.308411214953	267.009345794393	494.953271028037	567.429906542056	71.7570093457944	81.0280373831776	1677.28504672897	10455.0747663551	341.46261682243	7864.42056074766	212.733644859813	164.710280373832	139.042056074766	517.897196261682	116.107476635514	1232.45327102804	3642.6261682243	2047.38785046729	3227.71495327103	58.6542056074766	404.780373831776	1080.11682242991	113.336448598131	2424.90654205607	2129.47196261682	143.523364485981	2183.31775700935	774.523364485981	1614.52803738318	4120.78037383178	3967.59813084112	5199.53738317757	3562.32710280374	99.4018691588785	68.0607476635514	768.626168224299	1420.05607476636	439.303738317757	2956.50934579439	3902.95794392523	1539.85514018692	3026.26168224299	1259.85046728972	1496.93457943925	1885.24299065421	332.911214953271	2697.68224299065	1113.33644859813	178.81308411215	993.532710280374	472.616822429907	637.546728971963	571.028037383178	8041.63084112149	828.364485981308	2160.02336448598	320.032710280374	1347.35514018692	73.6401869158879	126.766355140187	1810.3691588785	264.728971962617	772.635514018692	118.420560747664	3413.64018691589	509.009345794392	5050.41121495327	152.158878504673	1389.2476635514	36.018691588785	60.8551401869159	1387.81775700935	174.803738317757	1626.47196261682	6733.64018691589	343.084112149533	71.9392523364486	2340.88317757009	511.696261682243	165.794392523364	256.831775700935	77.303738317757	287.252336448598	34.9158878504673	100.831775700935	80.6728971962617	243.018691588785	284.191588785047	613.518691588785	71.0046728971963	2098.18691588785	156.322429906542	200.785046728972	48.285046728972	42.2242990654206	297.35046728972	651.359813084112	278	3590.91588785047	0	53.0140186915888	1732.45327102804	357.140186915888
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	16.6728571428571	0	12.2242857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9557142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.26714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.831428571428572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	1179.53253012048	0	0	0	0	0	0	0	10.9397590361446	92.4506024096385	2.62650602409639	1700.65301204819	974.151807228916	311.592771084337	0	0	0	1373.10361445783	0	0	167.349397590361	0	852.180722891566	495.773493975904	0	0	0	0	0	991.655421686747	561.086746987952	150.787951807229	0	0	0	0	57.6867469879518	0	3839.31325301205	1089.3686746988	85.6530120481928	0	94.6	476.513253012048	227.61686746988	1395.97108433735	52.1397590361446	674.896385542169	1567.94939759036	0	0	0	0	0	2.72048192771084	7.70120481927711	200.674698795181	12838.7325301205	115.778313253012	0	355.932530120482	953.113253012048	0	1833.71084337349	7468.88192771084	0	0	67.9927710843373	14509.3421686747	0	0	13.0698795180723	0	6609.65542168675	133.756626506024	288.520481927711	739.110843373494	188.725301204819	312.397590361446	44.9590361445783	0	12.5180722891566	0	100.898795180723	0	0	576.609638554217	0	182.853012048193	0	31.9951807228916	415.238554216867	0	0	0	0	0	0	1403.32771084337	3.18313253012048	2415.3156626506	0	0	0	75.2120481927711	1535.70843373494	0	0	32.6481927710843	6954.32530120482	0	0	0	0	0	0	48.1542168674699	826.840963855422	2177.94457831325	342.144578313253	641.344578313253	6297.85542168675	0	5302.71325301205	218.732530120482	0	0	0	956.648192771084	7.76144578313253	27.5903614457831	51.5710843373494	0	6894.6265060241	152.556626506024	0	0	0	158.219277108434	93.3831325301205	1109.26265060241	288.190361445783	0	162.838554216867	0	196.857831325301	39.1614457831325	192.590361445783	504.120481927711	0	4.90361445783132	967.09156626506	148.730120481928	0	20352.9493975904	60.7734939759036	13.910843373494	603.55421686747	0	0	0	16.4939759036145	3461.19759036145	8.00240963855422	0	0	0	595.072289156627	0	62.1349397590361	0	0	46.2602409638554	522.886746987952	0	0	0	0	1767.53253012048	0	3.41686746987952	0	195.556626506024
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
