OTU	NSF22.NOVI.1M21	NSF14.NOVI.PM17	NSF22.NOVI.PM19	NSF22.NOVI.1M17	NSF14.NOVI.1M24	NSF6.NOVI.PM16	NSF6.NOVI.PM20	NSF22.NOVI.1M23	NSF14.NOVI.PM22	NSF14.NOVI.1M16	NSF14.NOVI.2M9	NSF14.NOVI.2M7	NSF14.NOVI.2M13	NSF14.NOVI.2M15	NSF14.NOVI.2M12	NSF14.NOVI.2M6	NSF14.NOVI.2M14	NSF14.NOVI.2M8	NSF14.NOVI.2M11	NSF6.NOVI.3M5	NSF22.NOVI.4M5	NSF6.NOVI.4M3	NSF22.NOVI.3M1	NSF22.NOVI.5M2	NSF6.NOVI.5M2	NSF14.NOVI.4M5	NSF14.NOVI.5M3	NSF14.NOVI.3M5	NSF14.NOVI.6M5
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	308.53488372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	318.228971962617	0	1286.21962616822	41.5280373831776	47.9205607476636	117.953271028037	3905.69626168224	567.429906542056	1151.78504672897	2022.29906542056	1370.01869158879	2683.64018691589	0	219.906542056075	851.658878504673	1076.73364485981	912.313084112149	291.233644859813	5691.97196261682	0	287.252336448598	0	613.518691588785	42.2242990654206	0	0	30.9672897196262	0	0
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	10.9397590361446	0	1700.65301204819	85.6530120481928	0	0	0	100.898795180723	0	0	0	0	0	0	0	0	0	0	0	0	3461.19759036145	0	0	0	0	0	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02ca048f22fccf96ca553ea4ab903f16	0	0	0	0	0	0	0	553.27027027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
030c33bd1fe417e19d57a8d5499d7c6f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.94	0	0	0	20.41	0	0	0	0	0	0
