OTU	NSF14.NOVI.1M22	NSF6.NOVI.1M20	NSF6.NOVI.1M16	NSF22.NOVI.PM24	NSF14.NOVI.PM25	NSF22.NOVI.PM22	NSF22.NOVI.1M19	NSF14.NOVI.1M19	NSF14.NOVI.1M17	NSF14.NOVI.3M7	NSF14.NOVI.3M13	NSF14.NOVI.3M9	NSF14.NOVI.3M11	NSF14.NOVI.3M15	NSF22.NOVI.PM18	NSF14.NOVI.3M8	NSF14.NOVI.3M12	NSF14.NOVI.3M14	NSF14.NOVI.3M10	NSF14.NOVI.3M6	NSF6.NOVI.5M3	NSF6.NOVI.3M1	NSF22.NOVI.3M2	NSF22.NOVI.5M3	NSF22.NOVI.6M1	NSF6.NOVI.4M1	NSF6.NOVI.4M4	NSF22.NOVI.4M1	NSF14.NOVI.4M1	NSF14.NOVI.5M4
00579bd7411b49075df018e7a6367c01	0	17.4086378737542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	871.64953271028	146.92523364486	0	2317.18691588785	38.6401869158878	3642.6261682243	143.523364485981	0	0	1865.75700934579	14.8691588785047	615.738317757009	5254.19158878505	175.827102803738	152.158878504673	17631.8177570093	3186.23364485981	6537.21962616822	0	1095.47663551402	0	0	77.303738317757	80.6728971962617	2098.18691588785	0	0	651.359813084112	0	0
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	0	0	14509.3421686747	0	0	1535.70843373494	191.674698795181	0	0	0	0	0	0	192.590361445783	0	0	0	0	0	0	0	16.4939759036145	0	0	0	0	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02ca048f22fccf96ca553ea4ab903f16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
030c33bd1fe417e19d57a8d5499d7c6f	0	0	0	0	0	0	0	0	0	0	0	0	58.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03144a3f5d639d4de42fa07527452428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
033fd5969b7694ae4aec3e71975ddbdf	0	0	0	248.271028037383	0	0	0	0	0	0	34.696261682243	0	54.4485981308411	0	0	0	0	0	0	0	0	0	0	0	119.668224299065	0	0	0	0	0
03496a3f7dcbeefb48313d87836888ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036066a3c2bbfd357d1e5ab4cdee1a3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037a3212f5266acc8a2acf8e931325fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a1f2a253e2bb6a98e63effa0d193e9	95.6581196581197	0	0	0	0	0	1378.20085470085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232.418803418803	0	0	0	0
03a533c87ed1b0a0fbae13482427dd15	0	174.67619047619	114.038095238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.0095238095238	0	0	0	0	0	0	0	0	0
03d501d858b10220f8f56ab401f8b410	0	0	0	0	0	112.714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
045b52daf372bbcb6fcbd25c4ac150c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
046b8313b63c590a0c5db6c12c831863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
047735756066cc08e1422d33659f78e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0483511ad55f6bc8287174dcf75eabfe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05276dabd97bb322a736fa48f2e6a453	0	0	0	0	0	0	0	0	0	0	0	0	116.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
