OTU	NSF22.NOVI.1M15	NSF22.NOVI.1M9	NSF22.NOVI.1M6	NSF22.NOVI.1M13	NSF22.NOVI.1M8	NSF14.NOVI.1M26	NSF6.NOVI.1M30	NSF14.NOVI.1M31	NSF14.NOVI.PM44	NSF6.NOVI.PM35	NSF22.NOVI.1M7	NSF6.NOVI.PM22	NSF14.NOVI.1M39	NSF22.NOVI.PM27	NSF22.NOVI.1M14	NSF6.NOVI.PM26	NSF22.NOVI.1M31	NSF22.NOVI.1M10	NSF22.NOVI.1M12	NSF22.NOVI.1M11	NSF22.NOVI.6M4	NSF6.NOVI.7M2	NSF14.NOVI.7M3
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	1472.52336448598	717.144859813084	379.546728971963	287.663551401869	242.023364485981	0	10.8598130841121	37.2570093457944	20.8224299065421	479.719626168224	271.144859813084	192.35046728972	0	3967.59813084112	68.0607476635514	1240.92523364486	439.303738317757	73.6401869158879	264.728971962617	6733.64018691589	165.794392523364	0	14.8644859813084
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	16.6728571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	67.8308157099698	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	92.4506024096385	0	57.6867469879518	476.513253012048	452.031325301205	0	0	0	0	6609.65542168675	0	84.2265060240964	0	0	0	826.840963855422	158.219277108434	288.190361445783	20352.9493975904	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	14.8533333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02ca048f22fccf96ca553ea4ab903f16	0	345.651651651652	121.957957957958	0	197.951951951952	0	0	0	0	0	0	0	0	0	4.16516516516517	0	395.24024024024	113.048048048048	113.417417417417	0	0	0	0
030c33bd1fe417e19d57a8d5499d7c6f	0	0	232.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03144a3f5d639d4de42fa07527452428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.1753846153846	0	0	0	0	0	0	0
033fd5969b7694ae4aec3e71975ddbdf	0	0	0	127.85046728972	0	0	0	0	0	17.3411214953271	0	139.88785046729	0	0	0	0	131.789719626168	28.6355140186916	0	828.757009345794	0	0	0
03496a3f7dcbeefb48313d87836888ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036066a3c2bbfd357d1e5ab4cdee1a3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037a3212f5266acc8a2acf8e931325fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a1f2a253e2bb6a98e63effa0d193e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.3696581196581	0	877.442307692308	0
03a533c87ed1b0a0fbae13482427dd15	0	0	0	0	0	0	77.4761904761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03d501d858b10220f8f56ab401f8b410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
045b52daf372bbcb6fcbd25c4ac150c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.54223433242507	0	0	0	0	0
046b8313b63c590a0c5db6c12c831863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.8608870967742	0	0	0	0	0	0
047735756066cc08e1422d33659f78e3	0	0	0	0	0	0	0	0	0	0	37.8136200716846	0	0	0	0	0	0	25.1039426523297	0	0	0	0	0
0483511ad55f6bc8287174dcf75eabfe	0	0	0	0	57.9852216748768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05276dabd97bb322a736fa48f2e6a453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.26	0	0	0	0	0
05368ee8187b415dd6d4748d334c4820	0	0	0	0	0	0	0	0	64.7219917012448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0556f46a264fa18ad669ed8be2d40016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0576d45a911b53117032d760eb39d689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688.010344827586	0	0	0
05936d8187a41ccd30c4f12e3feb6a90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05eb3c32f1d3b3be2bdc07e5516375e1	0	0	0	0	70.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05fca624332f3e060efcff1d391a9369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06094875913b945b59766b9fa5a73b36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0623ab7d45e188fc2e7a417610519d6c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062a6a55d6c81c8a614cb6cbb648003d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0646e2d2b6879bcfa7bd2d5fbd14a8de	2480.81884057971	0	112.108695652174	16.5217391304348	0	0	0	0	10.7632850241546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0663b06ea796b0199377151467b7fc09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0665c298d8dcf7d257ae8ccf9ed14b3e	2575.69655172414	3836.71724137931	180.051724137931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.1689655172414	0	4892.51724137931	0	0	0
068c5ca5a5c7da6e1838de061f9a833e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06a5ac57d31b062f79ca848747f6e327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06b6ca186d20f299c07da509a51aa1c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06eb3ddd0bb09e61c6351c962d5e82f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06f0739e32f0ad31404affc34baa8a47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070cc7cefe482682f056e340a569c569	0	0	0	0	0	0	0	0	0	35.34	0	299.365714285714	0	0	0	196.708571428571	0	0	0	0	0	0	0
0724ee14bb12983a282a328003feaf95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07349a3d457b346ae18fea9a99e78b87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07356141ecbdc39fea395e319cd9ff0b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
073d830187c7f1824a47e9d601dd46b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07af961f61ce5548bf1a5d3b8ccbd0ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07e37d6e6c8bff6299f270964bc042b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07f6b1ed7e3783a3db05ebd23a2f9418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07fa9098a4f3ce0fbbf755ada6588588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8455445544554
0814ef60abd948b0784ab17a046b79f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083336034f07fc6af6065fec41e938d9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
084bef14a26d9cd9e64296c05a5a4f02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
085de99eae386102f054276666c42f51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08abc6dfcd8eccfcb0de4ae667cde68e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08e153dc788176a813a3ebb7cd25069d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
092a1704b61349282d63d508013b5259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
095c18ce75acdc5d096dbaff2ea248b0	0	0	0	0	0	0	0	0	0	7.19186046511628	0	0	0	0	0	38.1220930232558	0	0	0	0	0	0	0
0980eaea8663226362b50ab4e2ef714b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09a4c038f3f2e501264a4e6408dbd3eb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09aec8b89431427022c412a3f6a8bd3e	0	0	0	0	0	0	0	0	125.902985074627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09c7eaf574b4e5a669e167762dc58d1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a2feb936bb12281d8f5a1af3bd798c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a47c8b4a952345ae6f513786e026d91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3881215469613	0	0	0	15.3770718232044
0ac2d7fafa180ed570414299af42eae7	0	0	0	0	0	0	0	0	81.0242424242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ad744a1dc1d68477ad71013b0fa64e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ae37a4d19516d9f109edffbf5e67751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ae7fccbb85864f098b570fb7fd84e5e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b62ba9bdb885cbde736797f5645eb36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bebec29f8f82e2007caa25899aa2880	0	0	0	0	0	0	16.1388888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c2be0135248e2b367a983b17347e951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c467f681609f1d554b3756af0873ebc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53024193548387	241.127016129032	0	0	0	0
0c6e6abfe24fb1318fd455c107e23b74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0760869565217	0	0	0	0	0	0	0	0
0c83872ac6b6a3c20c6026091d9c9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c926fe9a284d4034332c781e239d1d1	0	0	0	0	0	0	0	29.2051282051282	0	0	0	27.4139194139194	0	0	0	0	0	0	0	0	2.76556776556777	85.1428571428571	0
0c9ca82771cfeb384a682dbbfb6d9725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ce9a5e133d2f69dd16392760bffc4cc	0	0	0	0	0	0	0	0	0	0	52.75	0	0	0	0	0	0	0	0	0	0	0	0
0d3b280a208598b483042c49c3a1839b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d990216bcc63cb7539c8bebe69cb865	0	0	0	0	0	0	157.485981308411	0	0	80.9158878504673	0	139.88785046729	0	0	0	0	0	0	0	0	0	1375.80841121495	0
0dc60bb0b0341bf91a1d34f8adfecd4c	0	0	0	0	0	0	27.3162393162393	0	0	0	0	0	0	0	1.48290598290598	0	20.0876068376068	14.965811965812	0	0	0	0	0
0e087610005d8cafe03b34e1f7c52dd4	0	0	0	0	26.9057142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	53.9542857142857	0	0	0	0
0e22f8a0e00ff871d0b8bf3bebf2624e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e2da19274ce5e1ee9e5e46266ba5cc8	0	0	29.3746835443038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e4a78d33e0850ea8eb46f17cf2d7152	0	0	0	0	0	0	8.8253164556962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
