OTU	NSF22.NOVI.5M13	NSF22.NOVI.5M14	NSF22.NOVI.1M33	NSF22.NOVI.PM36	NSF22.NOVI.5M15	NSF22.NOVI.5M12	NSF22.NOVI.5M7	NSF22.NOVI.PM29	NSF6.NOVI.PM28	NSF14.NOVI.PM34	NSF14.NOVI.1M28	NSF6.NOVI.1M32	NSF6.NOVI.PM24	NSF14.NOVI.PM37	NSF22.NOVI.5M9	NSF22.NOVI.5M6	NSF22.NOVI.5M8	NSF14.NOVI.1M41	NSF22.NOVI.5M10	NSF22.NOVI.5M11	NSF22.NOVI.7M2	NSF6.NOVI.8M1	NSF6.NOVI.6M3
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	546.46261682243	8939.38785046729	75.8084112149533	5593.78037383178	7968.96261682243	1996.35046728972	620.607476635514	296.700934579439	9225.2476635514	331.775700934579	474.242990654206	37.5233644859813	4689.05140186916	216.953271028037	774.523364485981	1113.33644859813	993.532710280374	0	772.635514018692	1626.47196261682	100.831775700935	0	0
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	12.2242857142857	0	0	0	0	15.9557142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	0	63.1570996978852	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	1373.10361445783	852.180722891566	495.773493975904	0	0	1395.97108433735	0	0	0	0	0	0	0	0	0	7.76144578313253	229.546987951807	0	0	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02ca048f22fccf96ca553ea4ab903f16	0	0	87.6906906906907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
030c33bd1fe417e19d57a8d5499d7c6f	0	0	0	0	0	0	0	0	0	0	0	0	418.11	44.93	0	0	0	0	0	0	0	0	0
03144a3f5d639d4de42fa07527452428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
033fd5969b7694ae4aec3e71975ddbdf	0	190.200934579439	0	0	168.953271028037	182.672897196262	0	417.392523364486	435.836448598131	0	0	0	537.285046728972	0	0	0	0	0	11.196261682243	0	0	0	0
03496a3f7dcbeefb48313d87836888ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036066a3c2bbfd357d1e5ab4cdee1a3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037a3212f5266acc8a2acf8e931325fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a1f2a253e2bb6a98e63effa0d193e9	0	0	55.4615384615385	0	0	0	0	0	0	0	4553.93162393162	0	0	0	0	0	0	0	0	0	0	610.728632478633	0
03a533c87ed1b0a0fbae13482427dd15	0	0	0	0	0	53.1904761904762	0	0	0	61.4761904761905	0	25.4952380952381	0	0	0	0	0	0	0	0	0	0	0
03d501d858b10220f8f56ab401f8b410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
045b52daf372bbcb6fcbd25c4ac150c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
046b8313b63c590a0c5db6c12c831863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
047735756066cc08e1422d33659f78e3	30.6702508960573	0	0	0	0	0	0	0	0	11.5663082437276	0	0	0	0	0	0	0	0	0	0	0	0	0
0483511ad55f6bc8287174dcf75eabfe	0	0	0	0	44.5270935960591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
