OTU	NSF22.NOVI.7M9	NSF14.NOVI.PM35	NSF22.NOVI.7M6	NSF22.NOVI.7M11	NSF22.NOVI.7M8	NSF6.NOVI.PM29	NSF22.NOVI.1M34	NSF22.NOVI.7M7	NSF6.NOVI.1M33	NSF22.NOVI.7M15	NSF6.NOVI.PM25	NSF22.NOVI.PM30	NSF14.NOVI.1M42	NSF14.NOVI.1M29	NSF22.NOVI.7M10	NSF22.NOVI.7M14	NSF14.NOVI.PM38	NSF22.NOVI.7M12	NSF22.NOVI.PM37	NSF22.NOVI.7M4	NSF6.NOVI.8M3	NSF6.NOVI.6M5
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	4549.04205607477	14.981308411215	787.18691588785	2108.91588785047	81.5046728971963	984.130841121495	8823.61682242991	723.995327102804	941.233644859813	1403.48598130841	1265.79906542056	267.009345794393	0	0	2424.90654205607	2129.47196261682	2418.96728971963	1259.85046728972	1389.2476635514	243.018691588785	0	0
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.26714285714286	0	30.8128571428571	0.831428571428572	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	117.570996978852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	0	0	0	0	0	7468.88192771084	0	0	0	0	12.5180722891566	120.077108433735	0	0	75.2120481927711	0	0	504.120481927711	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02ca048f22fccf96ca553ea4ab903f16	0	0	0	0	0	0	2246.77477477477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
030c33bd1fe417e19d57a8d5499d7c6f	0	0	0	0	0	0	356.27	0	0	0	0	0	0	0	0	62.43	215.69	0	0	0	0	0
03144a3f5d639d4de42fa07527452428	0	0	0	0	0	0	0	0	88.5384615384615	0	0	0	0	0	0	0	0	0	0	0	0	0
033fd5969b7694ae4aec3e71975ddbdf	0	0	0	0	0	53.4859813084112	8157.68224299065	0	13.4439252336449	0	22.6028037383178	0	0	0	0	0	0	0	0	7.89252336448598	0	0
03496a3f7dcbeefb48313d87836888ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036066a3c2bbfd357d1e5ab4cdee1a3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037a3212f5266acc8a2acf8e931325fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a1f2a253e2bb6a98e63effa0d193e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22649572649573
03a533c87ed1b0a0fbae13482427dd15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03d501d858b10220f8f56ab401f8b410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
045b52daf372bbcb6fcbd25c4ac150c2	0	8.73569482288828	0	0	0	0	0	0	0	0	0	0	0	340.059945504087	0	0	0	0	0	0	0	1.56403269754768
046b8313b63c590a0c5db6c12c831863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
047735756066cc08e1422d33659f78e3	0	0	11.1827956989247	0	0	0	0	0	0	5.43727598566308	0	0	0	0	0	44.7491039426523	0	25.0465949820789	0	0	0	0
0483511ad55f6bc8287174dcf75eabfe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05276dabd97bb322a736fa48f2e6a453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.83
05368ee8187b415dd6d4748d334c4820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0556f46a264fa18ad669ed8be2d40016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0576d45a911b53117032d760eb39d689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.9379310344828	0	0	0
05936d8187a41ccd30c4f12e3feb6a90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05eb3c32f1d3b3be2bdc07e5516375e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
