Hit	#	query_length	percent_match	strand_orient.	NA	NA	CIGAR_format	query_id	database_id
N	*	*	*	.	*	*	*	0173a0f4a70f76920b71a0aa750aab86	*
H	450	245	99.6	-	0	0	55I245M336I	00e150269ecc665d692a72b837db1043	Mada.3447.Madagascar.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	00f31abc7cdc4b21954e4dcd1f87c422	*
N	*	*	*	.	*	*	*	00378055682311f7da837e80276834fb	*
N	*	*	*	.	*	*	*	0104bd43ee50519180b2940a08e495f8	*
N	*	*	*	.	*	*	*	00579bd7411b49075df018e7a6367c01	*
N	*	*	*	.	*	*	*	01698ee82d29f2d9bf793c19f083d2d1	*
N	*	*	*	.	*	*	*	010227743a7a896e9b13b4a0b858f5ef	*
N	*	*	*	.	*	*	*	0116ed54186c23457bf45155105f3019	*
N	*	*	*	.	*	*	*	00d9571bac43f673062a0e6be98e6b63	*
H	966	245	99.2	+	0	0	414I245M691I	0226e17918578c57b9c1e3c0dec2ce51	HP11E.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	00b37a0e7ca365681b9b39a2f23313ce	*
N	*	*	*	.	*	*	*	010a68105932d88b4ba25e954570f1cb	*
N	*	*	*	.	*	*	*	0200efa133705932922bc0d26e5b0a88	*
N	*	*	*	.	*	*	*	024c28f636d1e900c310f49f893439f1	*
N	*	*	*	.	*	*	*	026b137ceb23fadad8d4917352470ce9	*
N	*	*	*	.	*	*	*	020643eb1a0c7f8d60f1c1ea687f7c06	*
N	*	*	*	.	*	*	*	01ccbb93ad5f4f5fcaa89785f5a690bb	*
N	*	*	*	.	*	*	*	022aa689312a0a1cc2fa52127f5e14bf	*
N	*	*	*	.	*	*	*	02b16a94959ef38121d64edbca156cbd	*
N	*	*	*	.	*	*	*	02bc346a89ea8e0ce17e0dafff5ad596	*
N	*	*	*	.	*	*	*	028593a9ad87a957f8d1a6b0ba550c71	*
N	*	*	*	.	*	*	*	02762982e5e25ded0e715f625a5d005a	*
N	*	*	*	.	*	*	*	026ec50aa341f0a61277272c7383a26e	*
N	*	*	*	.	*	*	*	01a08b887d9a051b5b905828b4f78f32	*
N	*	*	*	.	*	*	*	02417b3a3ccf9461332315bd5cb482c3	*
H	337	245	99.6	-	0	0	56I245M469I	032e58c4f8f29e468f773e1666096975	DE_0301.Germany.Wild.Bsal.Inhibitory
H	43	245	99.6	-	0	0	56I245M428I	037b66a4fd53e12e9e1942fa86157c56	DE_0205.Germany.Wild.Bsal.Inhibitory
N	*	*	*	.	*	*	*	030c33bd1fe417e19d57a8d5499d7c6f	*
H	618	245	99.4	-	0	0	678I154M91D	02ca048f22fccf96ca553ea4ab903f16	A.lugubris1.USA.Wild.Bd.Inhibitory
H	69	245	99.2	+	0	0	463I245M667I	03a1f2a253e2bb6a98e63effa0d193e9	CC6Q.USA.Wild.Bd.Inhibitory
N	*	*	*	.	*	*	*	033fd5969b7694ae4aec3e71975ddbdf	*
N	*	*	*	.	*	*	*	03144a3f5d639d4de42fa07527452428	*
N	*	*	*	.	*	*	*	03496a3f7dcbeefb48313d87836888ca	*
